IncidntNum,Date,Time,X,Y
130493373,2013-06-15,20:00,-122.4163946,37.7397324
120721479,2012-09-09,0:37,-122.4612283,37.71823084
40054324,2004-01-14,9:30,-122.41394,37.73893219
71249069,2007-12-06,13:08,-122.4069776,37.7899181
110362726,2011-05-04,22:12,-122.4300187,37.76683052
91247203,2009-12-06,1:33,-122.4629641,37.78493568
110601342,2011-07-26,18:55,-122.4215693,37.76088159
31446556,2003-12-12,10:54,-122.4050105,37.72051041
61061657,2006-10-05,0:02,-122.4369101,37.79985281
90405482,2009-04-18,14:30,-122.4079367,37.76451169
30959176,2003-08-14,3:35,-122.4352859,37.75197019
90840571,2009-08-17,14:42,-122.4124143,37.7830038
70562046,2007-06-03,16:23,-122.4764228,37.75424236
90902187,2009-09-02,8:24,-122.4712462,37.71274822
100337115,2010-04-11,22:30,-122.4718827,37.73009294
81180306,2008-11-04,10:30,-122.4034048,37.77542071
40087212,2004-01-22,19:15,-122.4098207,37.80508166
90721824,2009-07-15,19:55,-122.4128304,37.75014951
130967992,2013-11-15,7:45,-122.4007846,37.72361678
120099339,2012-02-05,0:55,-122.4546368,37.77476002
110851600,2011-10-21,20:56,-122.3960102,37.74726229
100480162,2010-05-24,11:30,-122.3964219,37.79414474
31440263,2003-12-11,1:20,-122.4372356,37.77220419
110311717,2011-04-16,23:39,-122.3893106,37.73874184
120199359,2012-03-10,15:25,-122.4558153,37.71122268
90255306,2009-03-10,22:35,-122.5012026,37.77735481
51030888,2005-09-13,13:50,-122.4213053,37.73216388
70689781,2007-07-09,15:16,-122.3898656,37.73716994
51055165,2005-09-19,18:12,-122.4074559,37.71137317
90733528,2009-07-19,2:40,-122.4069587,37.78943476
31489205,2003-12-23,21:47,-122.4359772,37.72312883
130990874,2013-11-22,6:50,-122.4358795,37.77805335
60784006,2006-07-24,14:30,-122.4893228,37.7536737
21486421,2003-06-05,22:00,-122.4034048,37.77542071
70287686,2007-03-20,2:00,-122.4218864,37.76491789
40265173,2004-03-06,6:00,-122.417108,37.71225618
40888054,2004-08-08,21:27,-122.4155778,37.76959145
110057319,2011-01-19,12:03,-122.4122242,37.78207293
90005101,2009-01-02,12:42,-122.4725704,37.71717341
40954514,2004-08-21,8:46,-122.4775053,37.77656428
80664165,2008-06-25,0:01,-122.4336066,37.72200031
40185907,2004-02-15,21:05,-122.3932329,37.72773515
60858429,2006-08-13,16:35,-122.4265159,37.7943964
31492797,2003-12-25,1:55,-122.442512,37.71631009
101163428,2010-12-18,16:16,-122.4269357,37.75821124
80945915,2008-09-09,13:00,-122.3933683,37.76020426
131021749,2013-12-03,22:12,-122.4087875,37.79015782
90166424,2009-02-15,4:00,-122.4189184,37.78594073
30970746,2003-08-17,2:15,-122.4136096,37.80561888
31448295,2003-12-12,23:54,-122.4195157,37.76342923
51150113,2005-10-12,2:27,-122.4246887,37.78533396
80745743,2008-07-16,14:51,-122.4661808,37.76217382
50167490,2005-02-12,10:50,-122.4224673,37.78268373
100895301,2010-09-26,15:35,-122.4426497,37.79899925
90562822,2009-05-31,23:06,-122.4312069,37.78456812
40968935,2004-08-25,0:27,-122.4773091,37.76544607
80870055,2008-08-18,12:43,-122.4522427,37.77122868
80559710,2008-05-28,14:15,-122.4035389,37.74811882
90871899,2009-08-26,16:43,-122.4205298,37.71100233
90438615,2009-04-27,11:04,-122.3921844,37.74510153
100257018,2010-03-18,9:00,-122.5091976,37.75932469
60087690,2006-01-23,19:00,-122.3914318,37.73528424
91093313,2009-10-15,10:00,-122.4586802,37.74815547
40724408,2004-06-25,6:15,-122.4257687,37.80315403
90162529,2009-02-14,0:46,-122.4262461,37.78883457
130262833,2013-06-12,21:57,-122.3962112,37.79076136
40808610,2004-07-31,18:00,-122.4264794,37.75336075
80254227,2008-03-10,23:52,-122.4034048,37.77542071
90962686,2009-09-18,7:40,-122.4374632,37.80640235
